,Source,Target,value,nb_transactions
115,HolyTransaction.com,Xapo.com,7692081472.0,1496.0
116,269,0,87523069636.0,4761.0
117,ePay.info_CoinJoinMess,227,22169532948567.0,9540.0
118,396,CoinGaming.io,318209023316.0,368.0
119,269,Cryptonator.com,2059224785.0,80.0
120,Xapo.com,Vaultoro.com,417135052634.0,260.0
121,Poloniex.com,ePay.info_CoinJoinMess,522665838854221.0,13369.0
122,70063369,ePay.info_CoinJoinMess,140138769699.0,519.0
123,35,269,25638198373.0,1788.0
124,71554939,ePay.info_CoinJoinMess,2257647260819.0,7302.0
125,289,ePay.info_CoinJoinMess,533097619293.0,1828.0
126,71554939,BTC-e.com,876487309586.0,2766.0
127,Xapo.com,641,837144111188.0,770.0
128,Rollin.io,999Dice.com,4736647445.0,587.0
129,Bitstamp.net,CoinTrader.net_LocalBitcoins.com,148932494665807.0,8005.0
130,0,101,170484395368.0,9613.0
131,Bitstamp.net,SatoshiMines.com,812637717256.0,70.0
132,71554939,Xapo.com,5157626179525.0,13804.0
133,SlushPool.com,Bitstamp.net,10122775388253.0,3139.0
134,0,CoinTrader.net_LocalBitcoins.com,114864864677.0,2763.0
135,292,FortuneJack.com,1844714760.0,365.0
136,396,269,182786528678.0,223.0
137,CoinGaming.io,Xapo.com,42947203061.0,761.0
138,ePay.info_CoinJoinMess,821,3054365532489.0,1395.0
139,Bitcoin.de,Bter.com,151903524294.0,188.0
140,269,523,9006146789.0,563.0
141,ePay.info_CoinJoinMess,SecondsTrade.com,19399213112245.0,50743.0
142,ePay.info_CoinJoinMess,BTCC.com,3770815618549761.0,61657.0
143,Xapo.com,1149,797179539023.0,600.0
144,70063369,CoinTrader.net_LocalBitcoins.com,182166625465.0,445.0
145,898,CoinTrader.net_LocalBitcoins.com,166413862262.0,307.0
146,BX.in.th,421,1585367752108.0,1435.0
147,999Dice.com,421,129470723668.0,2927.0
148,Loanbase.com,BTCJam.com,299772354734.0,921.0
149,SlushPool.com,292,2398254424345.0,792.0
150,ePay.info_CoinJoinMess,16621,2884911031565.0,3597.0
151,PocketDice.io,BTC-e.com,10948773337.0,1203.0
152,ePay.info_CoinJoinMess,Xapo.com,1491364845056543.0,375719.0
153,999Dice.com,ePay.info_CoinJoinMess,205864555906.0,6198.0
154,Rollin.io,ePay.info_CoinJoinMess,17305519809.0,1334.0
155,Xapo.com,BTCC.com,2440026025865.0,733.0
156,Bitstamp.net,TheRockTrading.com,41802779531655.0,1936.0
157,ePay.info_CoinJoinMess,BX.in.th,51291494680487.0,7329.0
158,999Dice.com,18972,12276633872.0,181.0
159,BitBargain.co.uk,BTC-e.com,112183424573.0,261.0
160,354,CoinTrader.net_LocalBitcoins.com,1564312172601.0,2119.0
161,0,Bitstamp.net,1503760503420.0,4648.0
162,5162,Bter.com,97469326613230.0,1926.0
163,641,999Dice.com,362166267.0,79.0
164,0,CoinPayments.net,425300297033.0,28100.0
165,999Dice.com,Xapo.com,330537504387.0,14379.0
166,ePay.info_CoinJoinMess,CoinPayments.net,1428463702141.0,3324.0
167,57,CoinGaming.io,82291726016.0,2204.0
168,ePay.info_CoinJoinMess,FortuneJack.com,361138802308.0,3423.0
169,ePay.info_CoinJoinMess,18972,25156827552355.0,1266.0
170,BTCJam.com,Loanbase.com,85968995344.0,1019.0
171,Huobi.com,CoinTrader.net_LocalBitcoins.com,247511238218999.0,90624.0
172,SatoshiDice.com,0,11498181436.0,339.0
173,Xapo.com,Matbea.com,1033673212626.0,1080.0
174,Poloniex.com,289,572827046517211.0,14045.0
175,71554939,Loanbase.com,131878942586.0,243.0
176,Xapo.com,ePay.info_CoinJoinMess,91877807673743.0,85545.0
177,Xapo.com,1567,197477534622.0,161.0
178,0,MercadoBitcoin.com.br,111683073155.0,9253.0
179,101,CoinTrader.net_LocalBitcoins.com,10377808042.0,445.0
180,HolyTransaction.com,Paymium.com,1670901085.0,248.0
181,Loanbase.com,FortuneJack.com,391875453.0,18.0
182,57,0,774032687570.0,5841.0
183,269,Xapo.com,7117675649.0,606.0
184,354,Bitstamp.net,5149297051728.0,6317.0
185,0,BX.in.th,67545460572.0,2986.0
186,Huobi.com,BtcTrade.com,55964418818036.0,49738.0
187,Huobi.com,821,471973863942.0,223.0
188,SlushPool.com,57,20141263030688.0,7185.0
189,HolyTransaction.com,Poloniex.com,15659699772.0,720.0
190,61,CoinTrader.net_LocalBitcoins.com,955091762186.0,9476.0
191,Xapo.com,Rollin.io,7375545598786.0,5437.0
192,HolyTransaction.com,Bter.com,876739697.0,109.0
193,Poloniex.com,Bitbond.com,7952083351895.0,265.0
194,FortuneJack.com,292,1322114816.0,253.0
195,SatoshiMines.com,BTC-e.com,13849843476.0,213.0
196,CoinJar.com,BitcoinFog,59955787989.0,131.0
197,Xapo.com,HaoBTC.com,1706167025941.0,840.0
198,354,523,1029778114038.0,984.0
199,ePay.info_CoinJoinMess,417,498058570063164.0,10741.0
200,107,BTC-e.com,1408151062381.0,771.0
201,Xapo.com,16621,2749316624163.0,1559.0
202,Rollin.io,421,9560083735.0,927.0
203,Xapo.com,Bit-x.com,2450618218254.0,2289.0
204,Cryptonator.com,BTCJam.com,220794794.0,72.0
205,227,999Dice.com,21763647546.0,2987.0
206,0,421,61409987904.0,6358.0
207,0,Loanbase.com,20357216295.0,1069.0
208,Huobi.com,421,12420344284935.0,11808.0
209,269,Bitstamp.net,2397167962.0,177.0
210,Rollin.io,57,5155954035.0,618.0
211,BitZillions.com,Cryptonator.com,23512700.0,2.0
212,Loanbase.com,CoinGaming.io,10553148624.0,53.0
213,Bitcoin.de,ePay.info_CoinJoinMess,2172243012868.0,2369.0
214,ePay.info_CoinJoinMess,Bitstamp.net,521344004202792.0,11884.0
215,SecondsTrade.com,ePay.info_CoinJoinMess,1432339986190.0,25156.0
216,CoinPayments.net,0,10556317354584.0,66579.0
217,396,CoinTrader.net_LocalBitcoins.com,938501360572.0,575.0
218,SlushPool.com,BTC-e.com,31649868335913.0,10199.0
219,289,BTC-e.com,2913233027480.0,3969.0
220,ePay.info_CoinJoinMess,61,1974841892821.0,3710.0
221,107,Loanbase.com,892459589351.0,244.0
222,HolyTransaction.com,348,99334514.0,58.0
223,71554939,421,849252832001.0,1967.0
224,354,0,251901123052464.0,294440.0
225,396,ePay.info_CoinJoinMess,3841349652346.0,5166.0
226,ePay.info_CoinJoinMess,CoinMotion.com,121114651155.0,113.0
227,ePay.info_CoinJoinMess,871,8503362045357.0,879.0
228,57,OKCoin.com,1038046658363.0,325.0
229,Xapo.com,Paymium.com,132397327250.0,310.0
230,71554939,269,882404102272.0,2401.0
231,354,OKCoin.com,6777512218802.0,6859.0
232,CoinGaming.io,227,1191201267.0,24.0
233,898,SatoshiDice.com,4001577536.0,19.0
234,354,BtcTrade.com,805016578871.0,875.0
235,898,BitcoinFog,29986177892.0,86.0
236,SatoshiMines.com,Rollin.io,1752247029.0,155.0
237,ePay.info_CoinJoinMess,CoinCafe.com,107380298983.0,98.0
238,354,TheRockTrading.com,381707096637.0,568.0
239,227,0,10126332962.0,941.0
240,Poloniex.com,Huobi.com,186054980476281.0,6545.0
241,0,BTC-e.com,1919590415842.0,20012.0
242,396,Xapo.com,996517597096.0,966.0
243,61,BTC-e.com,6209388925553.0,45932.0
244,0,SecondsTrade.com,328844560.0,260.0
245,HaoBTC.com,269,18326560428.0,46.0
246,57,FortuneJack.com,7984228877.0,778.0
247,ePay.info_CoinJoinMess,BtcTrade.com,9196176087183136.0,152769.0
248,YoBit.net,Poloniex.com,827477343292.0,17215.0
249,Xapo.com,Bitcoin.de,1837736689596.0,2451.0
250,0,YoBit.net,65505087241.0,10355.0
251,Xapo.com,354,3072529596434.0,2908.0
252,0,227,4560841479.0,1436.0
253,Bit-x.com,HaoBTC.com,1302212258.0,26.0
254,ePay.info_CoinJoinMess,OKCoin.com,2.078914830754849e+16,431995.0
255,SlushPool.com,ePay.info_CoinJoinMess,5643972078746.0,1784.0
256,ePay.info_CoinJoinMess,CoinGaming.io,451460441230.0,1984.0
257,Poloniex.com,Bitcoin.de,330954016449870.0,8153.0
258,Poloniex.com,419,559635288686.0,3125.0
259,999Dice.com,HolyTransaction.com,50906559809.0,2395.0
260,ePay.info_CoinJoinMess,BTC-e.com,2653796358125310.0,72548.0
261,71554939,FortuneJack.com,556045583573.0,1258.0
262,Loanbase.com,SatoshiMines.com,6130906704.0,22.0
263,Poloniex.com,7277,17466466652462.0,6556.0
264,Cryptonator.com,227,3194709007.0,652.0
265,354,1391,1676927876499.0,1690.0
266,ePay.info_CoinJoinMess,0,1.0396629860110732e+16,765088.0
267,Xapo.com,CoinTrader.net_LocalBitcoins.com,10797135849136.0,7112.0
268,BX.in.th,0,2908920023572.0,3812.0
269,Xapo.com,CoinGaming.io,5831872173867.0,6714.0
270,Bter.com,Poloniex.com,403185509546.0,1130.0
271,Xapo.com,CoinJar.com,397802906838.0,513.0
272,Huobi.com,ePay.info_CoinJoinMess,12007011707924.0,3775.0
273,Xapo.com,523,887368320367.0,629.0
274,354,Cryptonator.com,8753652198424.0,13185.0
275,821,175,1146421588699.0,887.0
276,Huobi.com,0,5509957412338.0,5726.0
277,999Dice.com,57,10614255257.0,228.0
278,0,269,30340097679.0,4134.0
279,71554939,999Dice.com,2092515937982.0,4851.0
280,Huobi.com,HaoBTC.com,22832276237547.0,13849.0
281,69697250,CoinTrader.net_LocalBitcoins.com,16140778244478.0,2589.0
282,Bitstamp.net,Poloniex.com,300788806948544.0,26326.0
283,354,Xapo.com,35464529387906.0,42898.0
284,107,421,98556579412.0,177.0
285,396,999Dice.com,1468574431278.0,2095.0
286,Xapo.com,175,396529567523.0,285.0
287,1226,HaoBTC.com,192581284742.0,106.0
288,999Dice.com,FortuneJack.com,102507552770.0,3110.0
289,Rollin.io,SatoshiMines.com,3032532166.0,290.0
290,Poloniex.com,354,2621156795366915.0,55099.0
291,Xapo.com,Loanbase.com,1042546238747.0,1204.0
292,LuckyB.it,ePay.info_CoinJoinMess,1400325181530.0,160194.0
293,Poloniex.com,CoinTrader.net_LocalBitcoins.com,94047894772935.0,4576.0
294,Bitstamp.net,CoinMotion.com,26020127758065.0,1559.0
295,292,Rollin.io,281092866.0,154.0
296,71554939,289,1271822791557.0,3715.0
297,61,ePay.info_CoinJoinMess,554232710870.0,2871.0
298,Xapo.com,57,8162412198300.0,3049.0
299,YoBit.net,269,104515148676.0,5143.0
300,SlushPool.com,HolyTransaction.com,983362797977.0,384.0
301,SlushPool.com,MercadoBitcoin.com.br,3063281299632.0,1177.0
302,Poloniex.com,Bitstamp.net,1173329308934538.0,28639.0
303,SatoshiDice.com,BTC-e.com,52257342030.0,341.0
304,396,421,24948424222794.0,14216.0
305,57,Xapo.com,1764200467535.0,1085.0
306,YoBit.net,354,172974395329.0,6199.0
307,0,999Dice.com,87194309308.0,41429.0
308,Bitstamp.net,122,23689438209597.0,1519.0
309,999Dice.com,348,2298595544.0,144.0
310,Matbea.com,61,1245264331284.0,6258.0
311,SlushPool.com,269,3230018390641.0,1053.0
312,421,396,31655911807888.0,40279.0
313,999Dice.com,Rollin.io,12681876398.0,675.0
314,71554939,SafeDice.com,24443652114.0,38.0
315,ePay.info_CoinJoinMess,SatoshiDice.com,1467807434059.0,1981.0
316,999Dice.com,CoinGaming.io,13193212453.0,695.0
317,871,523,239864222542.0,538.0
318,269,354,99603500184.0,2347.0
319,ePay.info_CoinJoinMess,MercadoBitcoin.com.br,102603721824530.0,33532.0
320,YoBit.net,BTC-e.com,559315720606.0,3616.0
321,61,Matbea.com,587229762682.0,9831.0
322,396,Rollin.io,481170541471.0,825.0
323,Bit-x.com,269,1671680176.0,60.0
324,FortuneJack.com,ePay.info_CoinJoinMess,34064541934.0,1268.0
325,354,BTCC.com,598736026569.0,674.0
326,BitBargain.co.uk,ePay.info_CoinJoinMess,302113014637.0,718.0
327,Huobi.com,BTC-e.com,30961446444028.0,8589.0
328,BTCJam.com,0,178405231137.0,3237.0
329,Bitstamp.net,Bitcoin.de,29860125675785.0,1414.0
330,354,YoBit.net,8487808930430.0,11918.0
331,107,HaoBTC.com,1541197160461.0,179.0
332,354,289,8095726479876.0,12441.0
333,71554939,BTCJam.com,379198635758.0,554.0
334,1149,HaoBTC.com,10358334365.0,18.0
335,FortuneJack.com,35,1025428180.0,92.0
336,FortuneJack.com,999Dice.com,7097424637.0,1144.0
337,ePay.info_CoinJoinMess,154,14196936254902.0,1375.0
338,Huobi.com,OKCoin.com,72205138830027.0,29064.0
339,Cryptonator.com,BitZillions.com,2152514.0,2.0
340,Cryptonator.com,289,5855860439.0,1484.0
341,ePay.info_CoinJoinMess,1226,157927719908194.0,2520.0
342,0,107,98268450650.0,7141.0
343,269,Bitcoin.de,8124879649.0,244.0
344,57,641,4333976339.0,145.0
345,HolyTransaction.com,269,2707902569.0,267.0
346,ePay.info_CoinJoinMess,HaoBTC.com,2394481119177106.0,67268.0
347,Xapo.com,421,26684393631425.0,18986.0
348,Xapo.com,Poloniex.com,32628605869035.0,47798.0
349,SlushPool.com,421,6469284570195.0,2150.0
350,ePay.info_CoinJoinMess,CoinTrader.net_LocalBitcoins.com,456579826651294.0,31131.0
351,ePay.info_CoinJoinMess,107,71579743715126.0,6427.0
352,TheRockTrading.com,348,23898093408.0,11.0
353,354,Bit-x.com,871904000081.0,892.0
354,107,CoinTrader.net_LocalBitcoins.com,11029431227070.0,2203.0
355,SafeDice.com,ePay.info_CoinJoinMess,22921261020.0,363.0
356,57,SatoshiDice.com,56119674659.0,68.0
357,ePay.info_CoinJoinMess,1138,34992308321.0,178.0
358,354,Bter.com,2445165905648.0,2832.0
359,SlushPool.com,OKCoin.com,3980915524455.0,1528.0
360,SlushPool.com,CoinTrader.net_LocalBitcoins.com,14653607086291.0,4741.0
361,Xapo.com,PocketDice.io,24652295982579.0,25551.0
362,Bitstamp.net,BTCJam.com,5549778764954.0,310.0
363,354,ePay.info_CoinJoinMess,5827507018289.0,5762.0
364,Xapo.com,1070,319369169700.0,411.0
365,ePay.info_CoinJoinMess,348,3552517936007.0,2975.0
366,SlushPool.com,Bitcoin.de,19229984520058.0,6711.0
367,Poloniex.com,Xapo.com,1460358516305086.0,33519.0
368,Poloniex.com,YoBit.net,2319766371434896.0,51276.0
369,Loanbase.com,HaoBTC.com,12658604656.0,23.0
370,354,Poloniex.com,90738825777182.0,112338.0
371,Xapo.com,227,6993928171801.0,6325.0
372,ePay.info_CoinJoinMess,289,217550599453494.0,32914.0
373,Xapo.com,348,5720244500195.0,4512.0
374,ePay.info_CoinJoinMess,SatoshiMines.com,572342658737.0,3940.0
375,417,Rollin.io,477686067514.0,735.0
376,Rollin.io,417,249963201758.0,2651.0
377,0,BTCJam.com,54249332052.0,3385.0
378,Xapo.com,MercadoBitcoin.com.br,25166967229040.0,23573.0
379,Poloniex.com,35,620833807070853.0,12714.0
380,354,269,3325327763946.0,4604.0
381,ePay.info_CoinJoinMess,YoBit.net,126703970947453.0,11962.0
382,1070,BTCJam.com,70111054.0,20.0
383,Xapo.com,HolyTransaction.com,12433353439885.0,9434.0
384,5162,Huobi.com,257861765552271.0,5902.0
385,ePay.info_CoinJoinMess,Matbea.com,8210257869758.0,1944.0
386,Xapo.com,SatoshiMines.com,30760974373514.0,21086.0
387,Cryptonator.com,Bit-x.com,752654053.0,63.0
388,0,Rollin.io,23970031039.0,5782.0
389,ePay.info_CoinJoinMess,1070,491380229403.0,193.0
390,354,175,808489797432.0,1206.0
391,Bitstamp.net,70063369,12828772976347.0,1005.0
392,SatoshiMines.com,HolyTransaction.com,917809120.0,101.0
393,354,421,13894254816487.0,16743.0
394,HolyTransaction.com,PocketDice.io,1419305804.0,237.0
395,227,HolyTransaction.com,343123083.0,69.0
396,107,Huobi.com,1653686661639.0,105.0
397,354,BTCJam.com,639267250020.0,608.0
398,354,Bitcoin.de,4818737805017.0,5301.0
399,Loanbase.com,107,238121934927.0,198.0
400,Bitcoin.de,CoinPayments.net,245036806789.0,298.0
401,Bitstamp.net,289,2674343750849.0,271.0
402,0,HaoBTC.com,11489639119.0,694.0
403,Poloniex.com,Bter.com,191552048003661.0,7374.0
404,SatoshiMines.com,Poloniex.com,4725322907.0,564.0
405,396,BTCJam.com,73838399803.0,112.0
406,Poloniex.com,421,630242228134343.0,18556.0
407,ePay.info_CoinJoinMess,Rollin.io,234967262654.0,1180.0
408,Xapo.com,999Dice.com,26247038672552.0,26766.0
409,61,999Dice.com,115565194.0,23.0
410,HolyTransaction.com,421,2114996979.0,263.0
411,Cryptonator.com,ePay.info_CoinJoinMess,45704919455.0,6577.0
412,70063369,BTCJam.com,117168476145.0,542.0
413,Bit-x.com,Xapo.com,421273027465.0,973.0
414,0,354,100091112413.0,5911.0
415,289,999Dice.com,51448893087.0,374.0
416,999Dice.com,292,7713239521.0,411.0
417,CoinPayments.net,CoinTrader.net_LocalBitcoins.com,685354277592.0,2567.0
418,ePay.info_CoinJoinMess,FYBSG.com,12961032703.0,164.0
419,Huobi.com,Bitcoin.de,392536250385.0,71.0
420,BTCJam.com,ePay.info_CoinJoinMess,65979709171.0,775.0
421,348,Xapo.com,12798911010.0,719.0
422,ePay.info_CoinJoinMess,CoinSpot.com.au,14859158952610.0,828.0
423,0,CoinGaming.io,182558513031.0,18494.0
424,ePay.info_CoinJoinMess,Bter.com,1782384846577871.0,38161.0
425,Bitstamp.net,ePay.info_CoinJoinMess,89853828364934.0,8430.0
426,354,417,2932270825055.0,2033.0
427,SlushPool.com,0,377375194564768.0,132030.0
428,Xapo.com,Bitstamp.net,34300104515145.0,2880.0
429,69383113,BTC-e.com,25742118988.0,250.0
430,0,Poloniex.com,7468829247433.0,97046.0
431,107,0,3926192119298.0,4771.0
432,354,BTC-e.com,113213944613944.0,132381.0
433,354,57,43274668853577.0,52366.0
434,71554939,MercadoBitcoin.com.br,620938204203.0,3408.0
435,122,821,704367026734.0,376.0
436,YoBit.net,ePay.info_CoinJoinMess,55183520362.0,2335.0
437,ePay.info_CoinJoinMess,641,47706838296.0,557.0
438,BTCJam.com,Xapo.com,213401777713.0,896.0
439,SatoshiMines.com,0,49641687730.0,13411.0
440,Huobi.com,BTCC.com,80595101560749.0,49464.0
441,Loanbase.com,0,392644390741.0,1136.0
442,Huobi.com,Poloniex.com,17694677615330.0,4164.0
443,CoinGaming.io,CoinJar.com,4161188779.0,105.0
444,YoBit.net,35,90472099665.0,2892.0
445,Bitcoin.de,CoinTrader.net_LocalBitcoins.com,303516688336.0,324.0
446,Loanbase.com,269,40803502062.0,52.0
447,999Dice.com,227,83576912794.0,2459.0
448,SatoshiMines.com,Loanbase.com,340716605.0,61.0
449,999Dice.com,Cryptonator.com,128873018434.0,5677.0
450,HaoBTC.com,Huobi.com,10691145119003.0,13414.0
451,999Dice.com,SatoshiDice.com,1221465269.0,70.0
452,ePay.info_CoinJoinMess,CoinJar.com,26826037531808.0,3093.0
453,71554939,HolyTransaction.com,727673754390.0,1765.0
454,396,Poloniex.com,5751480112137.0,8352.0
455,5162,OKCoin.com,57980785450968.0,5215.0
456,BTCJam.com,CoinTrader.net_LocalBitcoins.com,302226964821.0,1446.0
457,5162,HaoBTC.com,1552041466785860.0,18273.0
458,CoinPayments.net,Xapo.com,8176945360913.0,31574.0
459,175,122,4797160828491.0,5598.0
460,898,BitBargain.co.uk,265601513801.0,390.0
461,SatoshiMines.com,CoinTrader.net_LocalBitcoins.com,16133350149.0,816.0
462,HolyTransaction.com,CoinPayments.net,2064159316.0,497.0
463,898,107,6364378777.0,23.0
464,SatoshiMines.com,CoinGaming.io,985076694.0,49.0
465,YoBit.net,Bitbond.com,70053403.0,6.0
466,CoinGaming.io,ePay.info_CoinJoinMess,81447228082.0,424.0
467,Poloniex.com,BTCC.com,50777217397534.0,2094.0
468,CoinTrader.net_LocalBitcoins.com,Matbea.com,14914050281.0,19.0
469,999Dice.com,Poloniex.com,62483044313.0,2219.0
470,HolyTransaction.com,Cryptonator.com,2249432178.0,286.0
471,Loanbase.com,641,2893935935.0,31.0
472,Bitstamp.net,HappyCoins.com,7420995105384.0,274.0
473,Xapo.com,18972,614540682385.0,529.0
474,417,Bitstamp.net,430271585507.0,286.0
475,FortuneJack.com,Xapo.com,53517424299.0,4921.0
476,HaoBTC.com,BTCC.com,5936364122821.0,7445.0
477,523,CoinTrader.net_LocalBitcoins.com,48966941709.0,93.0
478,523,269,1303450947.0,3.0
479,CoinTrader.net_LocalBitcoins.com,CoinJar.com,38469653766.0,49.0
480,FortuneJack.com,Cryptonator.com,3563841927.0,480.0
481,Huobi.com,CoinJar.com,376310465952.0,130.0
482,BTCJam.com,Bit-x.com,803710022.0,28.0
483,FortuneJack.com,0,51738129938.0,4523.0
484,74278522,CoinTrader.net_LocalBitcoins.com,34999304881.0,120.0
485,396,SatoshiMines.com,596511510773.0,759.0
486,Bitbond.com,0,40404268140.0,384.0
487,269,57,6185398551.0,229.0
488,SlushPool.com,1391,2457694261941.0,926.0
489,641,Loanbase.com,1436320495.0,16.0
490,417,CoinGaming.io,71929366360.0,223.0
491,Bter.com,7277,149887628.0,16.0
492,417,CoinTrader.net_LocalBitcoins.com,440342130699.0,302.0
